unix_time_ms,sys_time_ms,robot_mode,mpc_step,ref_lat_deg,ref_lon_deg,nearest_traj_index,traj_error_x_m,traj_error_y_m,traj_error_abs_m,raw_dx_m,raw_dy_m,raw_speed_m_s,raw_vyaw_rad_s,mhe_dx_m,mhe_dy_m,mhe_speed_m_s,mhe_yaw_rad,traj_ref_yaw_rad,mpc_output_vyaw_rad_s,yaw_PWM,throttle_PWM,latitude_deg,longitude_deg,vpitch_rad_s,vroll_rad_s,pitch_rad,roll_rad,sonar_meas_m,ultrasonic meas_m,GPS_time_stamp_h_m_s_ms,yaw_cmd,throttle,enc_speed_left_m_s,enc_speed_right_m_s
1508264367327,124327,RC,0,40.1021787433,-88.2267358693,0,21.8613934605,0.0000002665,21.8613934605,21.8617035324,12.7265929389,0.0000000000,-0.0181077910,21.8613934605,12.7245924753,0.0000000000,-0.1945937342,0.0000000000,0.0000000000,1500,1500,40.1022931963,-88.2269929068,0.0061813744,-0.0003636103,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181855,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1508264367527,124527,RC,0,40.1021787433,-88.2267358693,0,21.8614536819,0.0000000520,21.8614536819,21.8618169357,12.7270562518,0.0000000000,-0.0141808002,21.8614536819,12.7250824495,0.0000000000,-0.1963970618,0.0000000000,0.0000000000,1500,1500,40.1022932005,-88.2269929082,0.0043633231,-0.0012362749,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181855,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1508264367728,124728,RC,0,40.1021787433,-88.2267358693,0,21.8614900102,0.0000000201,21.8614900102,21.8621146209,12.7268153290,0.0000000000,-0.0191258997,21.8614900102,12.7255573473,-0.0000000000,-0.1978093063,0.0000000000,0.0000000000,1500,1500,40.1022931983,-88.2269929117,0.0029816041,0.0203621746,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181855,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1508264367928,124928,RC,0,40.1021787433,-88.2267358693,0,21.8616751483,-0.0000004235,21.8616751483,21.8626391075,12.7295952022,0.0000000000,-0.0242164434,21.8616751483,12.7260299262,-0.0000000000,-0.1997140259,0.0000000000,0.0000000000,1500,1500,40.1022932233,-88.2269929178,0.0050178216,0.0001454441,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181856,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1508264368128,125128,RC,0,40.1021787433,-88.2267358693,0,21.8617035279,0.0000000857,21.8617035279,21.8619161602,12.7294469423,0.0000000000,-0.0204348967,21.8617035279,12.7264862917,0.0000000000,-0.2021257050,0.0000000000,0.0000000000,1500,1500,40.1022932220,-88.2269929093,0.0047996554,0.0007999426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181856,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1508264368329,125329,RC,0,40.1021787433,-88.2267358693,0,21.8616397548,-0.0000004262,21.8616397548,21.8613916653,12.7324306730,0.0711759776,-0.0190531777,21.8616397548,12.7270827799,-0.0000000000,-0.2041607855,0.0000000000,0.0000000000,1500,1135,40.1022932488,-88.2269929032,0.0073449273,-0.0477783883,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181856,0.0000000000,0.7281460762,0.0626348630,0.0797170922
1508264368529,125529,RC,0,40.1021787433,-88.2267358693,0,21.8713846534,0.0000002815,21.8713846534,21.8591803019,12.7295581370,0.4071591198,0.0607956356,21.8713846534,12.7254822685,0.0097264123,-0.2060582628,0.0000000000,0.0000000000,1500,1000,40.1022932230,-88.2269928772,-0.0555596479,0.0653044028,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181856,0.0000000000,1.0000000000,0.3587555885,0.4555626512
1508264368730,125730,RC,0,40.1021787433,-88.2267358693,0,21.8896337850,0.0000000314,21.8896337850,21.8593504060,12.7307998137,0.6121684313,0.0181077910,21.8896337850,12.7222223596,0.0279513300,-0.1994772086,0.0000000000,0.0000000000,1500,1000,40.1022932342,-88.2269928792,-0.0258163285,-0.0690132275,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181856,0.0000000000,1.0000000000,0.6264049411,0.5979319811
1508264368931,125931,RC,0,40.1021787433,-88.2267358693,0,21.9118355306,0.0000004096,21.9118355306,21.8672603359,12.7029084198,0.6961636543,0.0630500192,21.9118355306,12.7165025993,0.0548559264,-0.1988582591,0.0000000000,0.0000000000,1500,1000,40.1022929833,-88.2269929722,0.0754127681,-0.0358519717,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181857,0.0000000000,1.0000000000,0.7203656435,0.6719616652
1508264369131,126131,RC,0,40.1021787433,-88.2267358693,0,21.9256331189,0.0000004030,21.9256331189,21.8702798818,12.5791114016,0.7018651962,0.1771509191,21.9256331189,12.7035068728,0.0990041996,-0.2164508649,0.0000000000,0.0000000000,1500,1000,40.1022918700,-88.2269930077,-0.2502365815,0.2241293648,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181857,0.0000000000,1.0000000000,0.7459987402,0.6577317119
