unix_time_ms,sys_time_ms,robot_mode,mpc_step,ref_lat_deg,ref_lon_deg,nearest_traj_index,traj_error_x_m,traj_error_y_m,traj_error_abs_m,raw_dx_m,raw_dy_m,raw_speed_m_s, raw_vyaw_rad_s,mhe_dx_m, mhe_dy_m, mhe_speed_m_s, mhe_yaw_rad, traj_ref_yaw_rad, mpc_output_vyaw_rad_s,yaw_PWM, throttle_PWM, latitude_deg, longitude_deg, vpitch_rad_s, vroll_rad_s,pitch_rad,roll_rad, sonar_meas_m, ultrasonic meas_m,GPS_time_stamp_h_m_s_ms,yaw_cmd,throttle,enc_speed_left_m_s,enc_speed_right_m_s
1508264716946, 473946, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0005863420, -7.8154527385, 7.8154527605, -45.1798520409, -7.7784187034, 0.0000000000, -0.0193440659, -44.4141529314, -7.8154527385, 0.6315293109, -3.3141045203, 0.0000000000, 0.0000000000, 1500, 1500, 40.1021087903, -88.2262046710, 0.0026179939, 0.0013817190, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182445, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
1508264717146, 474146, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0005919584, -7.8108688788, 7.8108689012, -45.4397305843, -7.7849606717, 0.0000000000, -0.0149807427, -44.6596724638, -7.8108688788, 0.6499313296, -3.2836190992, 0.0000000000, 0.0000000000, 1500, 1500, 40.1021087315, -88.2262016155, 0.0041451570, 0.0045814893, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182445, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
1508264717347, 474347, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0005901382, -7.7957289895, 7.7957290118, -45.7038192732, -7.8042715243, 0.0000000000, -0.0139626340, -44.9062564895, -7.7957289895, 0.6656345077, -3.2703708083, 0.0000000000, 0.0000000000, 1500, 1500, 40.1021085578, -88.2261985105, 0.0018907734, -0.0007999426, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182445, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
1508264717547, 474547, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0005965542, -7.8062310648, 7.8062310876, -46.0037861002, -7.8479711302, 0.0000000000, -0.0187622895, -45.1643920254, -7.8062310648, 0.6812524911, -3.2348251442, 0.0000000000, 0.0000000000, 1500, 1500, 40.1021081648, -88.2261949837, 0.0045087672, 0.0023998277, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182445, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
1508264717748, 474748, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0005996030, -7.8147445201, 7.8147445431, -46.2897050664, -7.8943023501, 0.0000000000, -0.0154897971, -45.4271590513, -7.8147445201, 0.6970507287, -3.2100028879, 0.0000000000, 0.0000000000, 1500, 1500, 40.1021077482, -88.2261916220, 0.0021816616, 0.0000727221, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182446, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
1508264717949, 474949, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006037463, -7.8331265402, 7.8331265635, -46.5352381060, -7.9169861153, 0.0000000000, -0.0191258997, -45.6907664050, -7.8331265402, 0.7121520171, -3.1805794399, 0.0000000000, 0.0000000000, 1500, 1500, 40.1021075442, -88.2261887352, 0.0042906011, 0.0023998277, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182446, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
1508264718149, 475149, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006053510, -7.8512760155, 7.8512760388, -46.7815366025, -7.9343881214, 0.0000000000, -0.0170169602, -45.9533450665, -7.8512760155, 0.7254361247, -3.1569629778, 0.0000000000, 0.0000000000, 1500, 1500, 40.1021073877, -88.2261858393, 0.0063268185, 0.0019634954, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182446, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
1508264718350, 475350, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006120007, -7.8675548942, 7.8675549180, -46.9877185345, -7.9381316833, 0.0000000000, -0.0167987941, -46.2081162732, -7.8675548942, 0.7335172627, -3.1396161905, 0.0000000000, 0.0000000000, 1500, 1336, 40.1021073540, -88.2261834152, 0.0050905437, -0.0029816041, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182446, 0.0000000000, 0.3272739649, 0.0000000000, 0.0000000000
1508264718550, 475550, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006136598, -7.8808913699, 7.8808913938, -47.1986917406, -7.9331093789, 0.0868424997, -0.0229801685, -46.4579920472, -7.8808913699, 0.7392312876, -3.1284066572, 0.0000000000, 0.0000000000, 1500, 1190, 40.1021073992, -88.2261809347, 0.0130172473, 0.0053087098, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182446, 0.0000000000, 0.6193590164, 0.0968080312, 0.0768769681
1508264718751, 475751, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006173260, -7.8956472197, 7.8956472439, -47.4291845810, -7.9402073215, 0.3387232125, 0.0276343798, -46.7143509991, -7.8956472197, 0.7486631986, -3.1195608647, 0.0000000000, 0.0000000000, 1500, 1153, 40.1021073353, -88.2261782247, -0.0045087672, 0.0626136869, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.6937739849, 0.3700337708, 0.3074126542
1508264718951, 475951, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.3516339064, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1129, 40.1021076568, -88.2261763355, 0.0367246363, 0.1279908118, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7412919998, 0.5039611459, 0.1993066669
1508264719152, 476152, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4484489858, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1129, 40.1021076568, -88.2261763355, 0.0167260720, -0.0147625766, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7412919998, 0.5609171391, 0.3359808326
1508264719352, 476352, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4099982083, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1118, 40.1021076568, -88.2261763355, -0.0218166156, 0.0106901417, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7632980347, 0.5865252018, 0.2334711999
1508264719553, 476553, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4256578684, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1118, 40.1021076568, -88.2261763355, -0.0012362749, 0.0197803982, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7632980347, 0.6206917167, 0.2306239903
1508264719753, 476753, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4157133996, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1106, 40.1021076568, -88.2261763355, -0.0034179365, 0.0645044603, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7871050835, 0.6178753972, 0.2135514021
1508264719954, 476954, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.5039762855, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1106, 40.1021076568, -88.2261763355, 0.0038542688, -0.1406444489, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7871050835, 0.6434951425, 0.3644573987
1508264720155, 477155, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4228022099, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1106, 40.1021076568, -88.2261763355, 0.0087993683, -0.0149080207, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7871050835, 0.6377622485, 0.2078421563
1508264720355, 477355, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.5537933707, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1106, 40.1021076568, -88.2261763355, -0.0158534074, 0.0779580399, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7871050835, 0.6406350136, 0.4669517279
1508264720556, 477556, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4753225446, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1106, 40.1021076568, -88.2261763355, -0.0188350115, -0.0044360452, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7871050835, 0.6460971236, 0.3045479953
1508264720756, 477756, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4755030274, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1106, 40.1021076568, -88.2261763355, 0.0286524886, -0.0521417114, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.7871050835, 0.6321058273, 0.3189002275
1508264720957, 477957, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4128577709, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1094, 40.1021076568, -88.2261763355, 0.0336703102, 0.0088720904, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.8108220100, 0.6292521954, 0.1964633614
1508264721158, 478158, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.5623295307, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1094, 40.1021076568, -88.2261763355, -0.0344702527, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.8108220100, 0.6605592370, 0.4640998244
1508264721358, 478358, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.6448349953, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1094, 40.1021076568, -88.2261763355, 0.0290888209, 0.0376700230, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.8108220100, 0.6633402109, 0.6263298392
1508264721559, 478559, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.5694646835, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1094, 40.1021076568, -88.2261763355, 0.0043633231, -0.0245800536, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.8108220100, 0.6805103421, 0.4584190845
1508264721759, 478759, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.6534215808, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1094, 40.1021076568, -88.2261763355, -0.0253072742, -0.0853029672, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.8108220100, 0.6861638427, 0.6206793189
1508264721960, 478960, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.5281626582, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1094, 40.1021076568, -88.2261763355, -0.0399971287, -0.0746855476, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.8108220100, 0.6804898977, 0.3758354485
1508264722161, 479161, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.5438170433, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1094, 40.1021076568, -88.2261763355, -0.0090902565, -0.1747510914, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.8108220100, 0.6662470698, 0.4213870466
1508264722361, 479361, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.5252209902, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1094, 40.1021076568, -88.2261763355, 0.0285797665, 0.0895935683, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.8108220100, 0.6661339402, 0.3843080401
1508264722562, 479562, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.5680297017, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1451, 1094, 40.1021076568, -88.2261763355, 0.0159988515, 0.0569413668, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.1212970018, 0.8106700182, 0.6719549298, 0.4641044736
1508264722762, 479762, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4313565791, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1290, 1094, 40.1021076568, -88.2261763355, 0.0327249235, 0.0320704250, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.5242819786, 0.8106700182, 0.6605592370, 0.2021539062
1508264722963, 479963, RC, 0, 40.1021787433, -88.2267358693, 0, -0.0006205397, -7.9016500455, 7.9016500699, -47.5898631960, -7.9044581530, 0.4996902943, -0.0063995406, -46.9600016432, -7.9016500455, 0.7526476298, -3.1097872924, 0.0000000000, 0.0000000000, 1500, 1094, 40.1021076568, -88.2261763355, 0.0074176493, -0.0635590736, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 182447, 0.0000000000, 0.8106700182, 0.6491702795, 0.3502103090
